City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Bandarbeyla,SO,85.87,Clouds,9.49,50.81,REER XOOSHLE GROUP
306,Marsabit,KE,75.56,Clouds,2.33,37.99,Chicho Hotel
307,Kavaratti,IN,82.4,Rain,10.57,72.64,Bismillah Hotel And Lodging
309,Lebanon,US,75.2,Clouds,36.21,-86.29,Hampton Inn & Suites Lebanon
312,Russell,US,87.8,Clear,32.35,-85.2,Macs
313,Nandura,IN,86.25,Rain,20.83,76.45,hotel Snehanjali. Nandura.
316,Harlingen,US,82.99,Clouds,26.19,-97.7,Courtyard by Marriott Harlingen
318,Chalus,IR,84.2,Clouds,36.66,51.42,نظام مهندسي ساختمان چالوس
319,Nabire,ID,75.69,Clouds,-3.37,135.48,Hotel Nusantara Nabire
320,Boyabat,TR,77.0,Clouds,41.47,34.77,Kolaz Palas Otel
323,Banda Aceh,ID,81.41,Clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
327,Palmer,US,81.0,Clouds,42.16,-72.33,Wedgewood Motel
330,Paka,MY,82.4,Rain,4.64,103.44,Rumbia Resort Villa Paka Terengganu
331,Porto Novo,BJ,82.4,Clouds,6.5,2.6,Tour Eiffel Hotel Benin
332,Pemex,MX,82.78,Clear,18.44,-96.35,Hotel Alquimia Premier
339,Jining,CN,78.93,Clear,35.41,116.58,Yunhe Star Hotel
340,Marshall,US,80.01,Clouds,34.38,-86.33,Lake Guntersville Bed and Breakfast
341,Amapa,BR,88.84,Clouds,1.0,-52.0,
343,Mbuguni,TZ,77.0,Clouds,-3.57,36.95,kaza Moyo Modern Resort
346,Mahibadhoo,MV,83.03,Clouds,3.78,72.97,Omadhoo Inn
348,Nanakuli,US,75.2,Clouds,21.39,-158.15,Camp Palehua
349,Harper,LR,77.77,Clouds,4.38,-7.72,Screensaver
352,Yueyang,CN,82.9,Clouds,29.33,113.09,Delong Fortune Hotel
355,Sinop,TR,77.0,Clouds,41.77,34.87,
357,Kruisfontein,ZA,78.04,Clear,-34.0,24.73,Oyster Bay House Rental
358,Woodward,US,82.0,Clear,36.43,-99.39,Holiday Inn Express & Suites Woodward Hwy 270
359,Dicabisagan,PH,81.68,Clouds,17.08,122.42,
360,Bloomfield,US,82.99,Clouds,40.81,-74.19,Howard Johnson by Wyndham Clifton NJ
